id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total
432022,2022,-23.639.124.506.974.100,-4.667.075.356.084.000,5,kilometer,300,"25066,8",26,40,14,8,88
432023,2022,-236.380.759.946.414,-4.666.975.284.444.280,5,kilometer,221,"8489,65",6,4,6,,16
432032,2022,-23.643.380.490.086.000,-4.667.081.612.693.580,5,kilometer,529,"15121,07",26,44,34,28,132
432033,2022,-23.642.885.682.491.600,-4.667.061.871.929.080,5,kilometer,226,"12736,3",15,8,3,4,30
432034,2022,-23.642.534.650.971.200,-4.666.925.073.750.480,5,kilometer,162,"10420,58",6,6,10,6,28
432035,2022,-2.361.155.861.713.430,-4.667.707.620.529.440,5,kilometer,172,"12845,68",4,6,5,3,18
432036,2022,-2.362.158.324.157.270,-4.667.680.347.700.540,5,kilometer,635,"20063,09",31,59,61,47,198
432037,2022,-23.620.790.768.323.700,-4.667.607.816.661.720,5,kilometer,282,"12656,12",15,5,10,16,46
432038,2022,-2.362.000.183.565.970,-4.667.534.275.449.110,5,kilometer,210,"15772,41",11,6,6,9,32
432039,2022,-2.362.142.079.994.010,-466.735.762.903.864,5,kilometer,234,"12288,13",8,5,5,12,30
432040,2022,-23.621.134.289.199.500,-4.667.368.861.299.030,5,kilometer,158,"8432,79",0,,,0,0
432041,2022,-23.618.352.949.548.500,-4.667.911.821.964.470,5,kilometer,313,"30894,82",8,11,14,19,52
432042,2022,-2.361.832.141.904.440,-4.668.046.549.599.210,5,kilometer,266,"27220,56",13,17,29,15,74
432043,2022,-23.618.704.565.729.100,-46.680.871.095.910.300,5,kilometer,300,"19314,29",9,21,24,21,75
432044,2022,-23.616.157.909.512.600,-4.667.967.430.317.550,5,kilometer,246,"10584,2",5,9,11,13,38
432045,2022,-2.361.672.691.608.880,-4.667.941.895.184.480,5,kilometer,203,"11395,82",,5,5,7,17
432046,2022,-23.615.529.681.958.500,-4.667.739.082.798.740,5,kilometer,366,"15647,84",8,17,18,13,56
432047,2022,-23.615.076.694.022.100,-46.678.479.873.228.500,5,kilometer,243,"11520,7",7,9,13,11,40
432048,2022,-2.361.292.055.011.660,-4.667.753.607.860.850,5,kilometer,225,"9959,78",8,3,4,3,18
432049,2022,-23.611.876.981.285.100,-4.667.737.317.348.010,5,kilometer,194,"13404,29",0,,0,,0
432050,2022,-2.361.218.848.162.600,-4.667.757.808.770.530,5,kilometer,214,"13757,58",,,3,3,6
432053,2022,-2.362.732.546.187.130,-466.685.556.426.067,5,kilometer,316,"15053,32",13,21,14,15,63
432054,2022,-23.629.167.892.659.700,-4.666.964.768.046.520,5,kilometer,262,"7174,06",7,8,9,7,31
432055,2022,-2.363.845.777.320.560,-46.667.407.104.284.600,5,kilometer,174,"6098,42",7,3,6,9,25
432057,2022,-23.639.310.020.620.400,-4.666.939.906.947.960,5,kilometer,232,"8524,75",6,14,5,6,31
432058,2022,-23.638.641.790.834.300,-4.666.916.357.078.530,5,kilometer,234,"13809,16",8,6,5,4,23
432059,2022,-23.639.210.370.040.500,-4.667.225.815.608.030,5,kilometer,161,"5410,82",4,,7,8,19
432060,2022,-23.623.865.404.289.600,-4.668.041.289.048.230,5,kilometer,185,"12137,46",5,6,8,19,38
432061,2022,-236.244.938.762.537,-46.678.953.650.962.100,5,kilometer,275,"8815,57",7,14,5,8,34
432062,2022,-23.622.666.512.482.000,-4.667.342.039.499.100,5,kilometer,296,"14935,03",7,13,12,14,46
432063,2022,-2.362.312.959.316.780,-466.735.516.075.194,5,kilometer,248,"11520,29",6,7,7,13,33
432064,2022,-2.362.651.186.075.350,-4.668.483.673.336.560,5,kilometer,298,"25739,58",14,14,25,22,75
432065,2022,-23.626.825.695.709.800,-46.685.221.863.937.800,5,kilometer,300,"24810,23",9,15,19,37,80
