id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade
455524,2022,-23.6233337085453,-46.7214021248908,5,kilometer,697.0,"17095,41",45.0,71.0,60.0,42.0,218.0,chacara
455525,2022,-23.6357049555332,-46.732214340304495,5,kilometer,340.0,"16422,67",11.0,11.0,21.0,17.0,60.0,chacara
455526,2022,-23.6381883882854,-46.7299586325248,5,kilometer,152.0,"18989,89",,12.0,7.0,7.0,26.0,chacara
455527,2022,-23.6345235878321,-46.738945117033296,5,kilometer,249.0,"7678,75",17.0,13.0,12.0,15.0,57.0,chacara
455528,2022,-23.6337114888988,-46.7381231542897,5,kilometer,265.0,"9329,58",9.0,23.0,13.0,8.0,53.0,chacara
455529,2022,-23.6327026686674,-46.7387240502403,5,kilometer,174.0,"7473,63",6.0,,4.0,4.0,14.0,chacara
455530,2022,-23.6321689450854,-46.7383095232294,5,kilometer,247.0,"5895,1",15.0,14.0,11.0,12.0,52.0,chacara
455531,2022,-23.6315928445119,-46.7397276316874,5,kilometer,440.0,"16950,69",36.0,29.0,19.0,14.0,98.0,chacara
455532,2022,-23.6306981359262,-46.7398698111136,5,kilometer,385.0,"12673,15",29.0,22.0,21.0,11.0,83.0,chacara
455533,2022,-23.6300834998199,-46.7395481997306,5,kilometer,557.0,"11599,54",46.0,47.0,24.0,25.0,142.0,chacara
455534,2022,-23.6314725695739,-46.7374103581402,5,kilometer,200.0,"9774,05",9.0,8.0,9.0,9.0,35.0,chacara
455535,2022,-23.6355489099909,-46.7398068542916,5,kilometer,470.0,"4692,92",38.0,39.0,26.0,29.0,132.0,chacara
455536,2022,-23.6283371038371,-46.7400333642603,5,kilometer,566.0,"12779,97",35.0,29.0,25.0,24.0,113.0,chacara
455537,2022,-23.6285480127013,-46.738256434907,5,kilometer,381.0,"15562,02",21.0,37.0,25.0,18.0,101.0,chacara
455538,2022,-23.6213488826892,-46.7189927487066,5,kilometer,127.0,"13075,1",3.0,8.0,,10.0,21.0,chacara
455539,2022,-23.6195629101576,-46.7413831901984,5,kilometer,334.0,"15830,76",7.0,6.0,14.0,14.0,41.0,chacara
455540,2022,-23.6212776072815,-46.7408372987808,5,kilometer,303.0,"34652,59",32.0,32.0,20.0,15.0,99.0,chacara
455541,2022,-23.62081030939,-46.7415494390993,5,kilometer,574.0,"28157,71",58.0,44.0,46.0,23.0,171.0,chacara
455542,2022,-23.6207868331042,-46.7475335466592,5,kilometer,454.0,"6124,93",38.0,25.0,18.0,27.0,108.0,chacara
455543,2022,-23.6216136006054,-46.747142776499,5,kilometer,473.0,"4823,61",37.0,24.0,31.0,23.0,115.0,chacara
455544,2022,-23.6175530471962,-46.7213808250745,5,kilometer,461.0,"2079,77",26.0,28.0,42.0,49.0,145.0,chacara
455545,2022,-23.6176624644802,-46.7220585317946,5,kilometer,597.0,"2446,14",42.0,41.0,40.0,60.0,183.0,chacara
455546,2022,-23.6417093883016,-46.7331868957172,5,kilometer,297.0,"2519,78",19.0,25.0,19.0,22.0,85.0,chacara
455547,2022,-23.6209905062385,-46.7285147319074,5,kilometer,406.0,"1910,79",48.0,41.0,35.0,26.0,150.0,chacara
455548,2022,-23.6207261043226,-46.7289338882371,5,kilometer,153.0,"2468,56",13.0,11.0,13.0,17.0,54.0,chacara
455549,2022,-23.6206495431049,-46.7280496568749,5,kilometer,319.0,"2453,97",16.0,25.0,36.0,36.0,113.0,chacara
455550,2022,-23.6180116056391,-46.7270326585894,5,kilometer,651.0,"1623,5",47.0,60.0,56.0,53.0,216.0,chacara
455551,2022,-23.6176436394122,-46.7281151335673,5,kilometer,527.0,"1690,56",41.0,43.0,44.0,55.0,183.0,chacara
455552,2022,-23.6181545511289,-46.7280735140457,5,kilometer,790.0,"1660,23",59.0,58.0,58.0,84.0,259.0,chacara
455553,2022,-23.617608419521,-46.7226842919937,5,kilometer,336.0,"1795,87",21.0,24.0,29.0,24.0,98.0,chacara
455554,2022,-23.6173312112382,-46.7237277887335,5,kilometer,533.0,"1912,24",36.0,49.0,43.0,60.0,188.0,chacara
455555,2022,-23.6201202420528,-46.7260951984924,5,kilometer,1435.0,"1823,46",91.0,95.0,109.0,115.0,410.0,chacara
455556,2022,-23.6205764802251,-46.7246181285927,5,kilometer,646.0,"2292,74",31.0,43.0,50.0,44.0,168.0,chacara
455557,2022,-23.6146155220334,-46.721754643167294,5,kilometer,593.0,"1491,23",44.0,57.0,48.0,59.0,208.0,chacara
455558,2022,-23.6146641179363,-46.7208419546683,5,kilometer,809.0,"1652,09",68.0,88.0,73.0,66.0,295.0,chacara
455559,2022,-23.6145324611797,-46.7200693621497,5,kilometer,872.0,"1655,29",68.0,78.0,73.0,87.0,306.0,chacara
