id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade
455526,2022,"-2.363.818.838.828.540,00","-4.672.995.863.252.480,00",5,kilometer,152.0,"R$ 18.989,89",,12.0,7.0,7.0,,morumbi
455639,2022,"-23.634.905.380.935.800,00","-4.672.629.019.976.660,00",5,kilometer,632.0,"R$ 18.954,01",45.0,49.0,39.0,31.0,,morumbi
445685,2022,"-2.365.332.408.806.020,00","-4.674.860.541.158.660,00",5,kilometer,340.0,"R$ 18.916,28",31.0,26.0,17.0,12.0,,morumbi
447211,2022,"-236.126.691.799.992,00","-4.670.572.616.488.970,00",5,kilometer,322.0,"R$ 18.899,22",10.0,19.0,16.0,17.0,,morumbi
455455,2022,"-23.631.547.688.421.300,00","-4.673.337.738.563.250,00",5,kilometer,579.0,"R$ 18.843,26",16.0,20.0,37.0,39.0,,morumbi
458371,2022,"-23.608.143.502.896.500,00","-46.733.792.442.939.000,00",5,kilometer,326.0,"R$ 18.829,00",27.0,30.0,35.0,18.0,,morumbi
455424,2022,"-23.625.934.676.643.700,00","-4.673.019.177.956.640,00",5,kilometer,391.0,"R$ 18.726,04",18.0,21.0,19.0,25.0,,morumbi
441588,2022,"-23.610.535.218.673.500,00","-4.669.198.952.553.510,00",5,kilometer,317.0,"R$ 18.617,33",23.0,25.0,13.0,20.0,,morumbi
447171,2022,"-23.592.553.924.298.800,00","-4.671.312.577.085.090,00",5,kilometer,264.0,"R$ 18.605,23",5.0,18.0,12.0,16.0,,morumbi
455320,2022,"-2.361.800.968.528.730,00","-46.734.019.077.857.000,00",5,kilometer,292.0,"R$ 18.595,80",8.0,16.0,28.0,17.0,,morumbi
458269,2022,"-23.598.029.079.322.500,00","-4.673.036.504.859.370,00",5,kilometer,280.0,"R$ 18.546,82",5.0,13.0,14.0,14.0,,morumbi
455390,2022,"-23.636.016.513.810.500,00","-4.673.561.148.173.800,00",5,kilometer,292.0,"R$ 18.542,17",12.0,21.0,20.0,22.0,,morumbi
455456,2022,"-2.363.302.637.254.000,00","-46.732.876.298.961.700,00",5,kilometer,640.0,"R$ 18.533,34",19.0,29.0,58.0,56.0,,morumbi
455449,2022,"-23.626.025.081.418.300,00","-46.732.749.756.819.700,00",5,kilometer,466.0,"R$ 18.525,36",24.0,24.0,23.0,28.0,,morumbi
447265,2022,"-23.586.880.982.277.900,00","-46.718.819.475.735.500,00",5,kilometer,442.0,"R$ 18.515,83",31.0,32.0,25.0,22.0,,morumbi
441586,2022,"-23.611.660.043.336.300,00","-4.669.280.978.909.240,00",5,kilometer,325.0,"R$ 18.470,52",27.0,12.0,8.0,6.0,,morumbi
441634,2022,"-23.623.925.576.579.400,00","-46.690.901.433.931,00",5,kilometer,166.0,"R$ 18.443,72",28.0,7.0,,4.0,,morumbi
455403,2022,"-23.627.165.893.463.800,00","-4.672.210.272.051.780,00",5,kilometer,340.0,"R$ 18.374,37",7.0,11.0,15.0,12.0,,morumbi
455408,2022,"-2.363.086.226.578.200,00","-4.672.549.144.510.460,00",5,kilometer,190.0,"R$ 18.370,36",6.0,11.0,20.0,11.0,,morumbi
458068,2022,"-2.360.166.543.553.540,00","-4.674.118.988.594.810,00",5,kilometer,132.0,"R$ 18.358,61",3.0,3.0,6.0,7.0,,morumbi
447289,2022,"-23.602.885.830.604.300,00","-46.715.969.005.394.300,00",5,kilometer,331.0,"R$ 18.319,26",10.0,20.0,18.0,15.0,,morumbi
447180,2022,"-23.607.326.088.469.400,00","-46.710.208.348.188.100,00",5,kilometer,366.0,"R$ 18.308,17",13.0,9.0,24.0,28.0,,morumbi
447178,2022,"-2.360.517.713.013.160,00","-4.670.429.313.742.650,00",5,kilometer,549.0,"R$ 18.292,34",15.0,29.0,28.0,21.0,,morumbi
455353,2022,"-23.617.450.677.403,00","-46.737.305.644.247.000,00",5,kilometer,167.0,"R$ 18.224,59",,10.0,8.0,3.0,,morumbi
432788,2022,"-2.364.027.478.114.810,00","-46.769.783.025.029.700,00",5,kilometer,265.0,"R$ 18.203,63",25.0,12.0,21.0,12.0,,morumbi
447295,2022,"-23.586.004.042.089.200,00","-467.146.851.714.044,00",5,kilometer,26.0,"R$ 18.133,50",,,0.0,0.0,,morumbi
