id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade,CEP,Logradouro,Bairro,Cidade,UF,renda_sm,cluster
432043,2022,-23.6187045657291,-46.68087109591031,5,kilometer,300.0,1931429.0,9.0,21.0,24.0,21.0,75.0,chacara,04619-000,R  Gabriele D'Annunzio,Campo Belo,São Paulo,SP,13.99586231884058,3
432044,2022,-23.6161579095126,-46.6796743031755,5,kilometer,246.0,105842.0,5.0,9.0,11.0,13.0,38.0,chacara,04555-002,Av Sto Amaro,Brooklin Paulista,São Paulo,SP,7.669710144927537,2
432045,2022,-23.6167269160888,-46.6794189518448,5,kilometer,203.0,1139582.0,,5.0,5.0,7.0,17.0,chacara,04601-902,R  Gil Eanes,Campo Belo,São Paulo,SP,8.257840579710145,1
432046,2022,-23.6155296819585,-46.6773908279874,5,kilometer,366.0,1564784.0,8.0,17.0,18.0,13.0,56.0,chacara,04601-041,R  Gil Eanes,Campo Belo,São Paulo,SP,11.339014492753623,1
432047,2022,-23.6150766940221,-46.6784798732285,5,kilometer,243.0,115207.0,7.0,9.0,13.0,11.0,40.0,chacara,04616-900,R  Pascal,Campo Belo,São Paulo,SP,8.348333333333334,2
432048,2022,-23.6129205501166,-46.6775360786085,5,kilometer,225.0,995978.0,8.0,3.0,4.0,3.0,18.0,chacara,04614-010,R  Demostenes,Campo Belo,São Paulo,SP,7.217231884057972,1
432049,2022,-23.6118769812851,-46.6773731734801,5,kilometer,194.0,1340429.0,0.0,,0.0,,0.0,chacara,04555-000,Av Sto Amaro,Brooklin Paulista,São Paulo,SP,9.713253623188406,1
432050,2022,-23.612188481626,-46.6775780877053,5,kilometer,214.0,1375758.0,,,3.0,3.0,6.0,chacara,04555-000,Av Sto Amaro,Brooklin Paulista,São Paulo,SP,9.969260869565217,1
432053,2022,-23.6273254618713,-46.6685556426067,5,kilometer,316.0,1505332.0,13.0,21.0,14.0,15.0,63.0,chacara,04624-080,R  Paiaguas,Vila Congonhas,São Paulo,SP,10.908202898550725,1
432054,2022,-23.6291678926597,-46.6696476804652,5,kilometer,262.0,717406.0,7.0,8.0,9.0,7.0,31.0,chacara,04624-900,R Dr Silvino Canuto Abreu,Vila Congonhas,São Paulo,SP,5.198594202898551,2
432055,2022,-23.6384577732056,-46.6674071042846,5,kilometer,174.0,609842.0,7.0,3.0,6.0,9.0,25.0,chacara,04634-030,R  Tebas,Jardim Brasil (Zona Sul),São Paulo,SP,4.419144927536232,2
432057,2022,-23.6393100206204,-46.6693990694796,5,kilometer,232.0,852475.0,6.0,14.0,5.0,6.0,31.0,chacara,04635-001,Av Sta Catarina,Vila Alexandria,São Paulo,SP,6.177355072463768,2
432058,2022,-23.6386417908343,-46.6691635707853,5,kilometer,234.0,1380916.0,8.0,6.0,5.0,4.0,23.0,chacara,04634-020,R  Lacedemonia,Jardim Brasil (Zona Sul),São Paulo,SP,10.00663768115942,1
432059,2022,-23.6392103700405,-46.6722581560803,5,kilometer,161.0,541082.0,4.0,,7.0,8.0,19.0,chacara,04635-020,R  Palacete Das Aguias,Vila Alexandria,São Paulo,SP,3.9208840579710142,2
432060,2022,-23.6238654042896,-46.6804128904823,5,kilometer,185.0,1213746.0,5.0,6.0,8.0,19.0,38.0,chacara,04605-004,R  Constantino De Sousa,Campo Belo,São Paulo,SP,8.795260869565217,1
432061,2022,-23.6244938762537,-46.67895365096209,5,kilometer,275.0,881557.0,7.0,14.0,5.0,8.0,34.0,chacara,04606-000,R Br De Jaceguai,Campo Belo,São Paulo,SP,6.38809420289855,1
432062,2022,-23.622666512482,-46.673420394991,5,kilometer,296.0,1493503.0,7.0,13.0,12.0,14.0,46.0,chacara,04618-003,R  Joao De Sousa Dias,Campo Belo,São Paulo,SP,10.822485507246377,1
432063,2022,-23.6231295931678,-46.6735516075194,5,kilometer,248.0,1152029.0,6.0,7.0,7.0,13.0,33.0,chacara,04618-900,R  Edson,Campo Belo,São Paulo,SP,8.348036231884059,1
432064,2022,-23.6265118607535,-46.6848367333656,5,kilometer,298.0,2573958.0,14.0,14.0,25.0,22.0,75.0,chacara,04602-925,R Br Do Triunfo,Brooklin Paulista,São Paulo,SP,18.651869565217392,3
432065,2022,-23.6268256957098,-46.6852218639378,5,kilometer,300.0,2481023.0,9.0,15.0,19.0,37.0,80.0,chacara,04602-925,R Br Do Triunfo,Brooklin Paulista,São Paulo,SP,17.978427536231884,3
432066,2022,-23.623799558574,-46.6849804126201,5,kilometer,270.0,2534358.0,13.0,15.0,20.0,18.0,66.0,chacara,04601-000,R Prsa Isabel,Brooklin Paulista,São Paulo,SP,18.36491304347826,3
432067,2022,-23.6252662150636,-46.6852592063278,5,kilometer,295.0,2878711.0,10.0,13.0,25.0,21.0,69.0,chacara,04622-000,R  Laplace,Brooklin Paulista,São Paulo,SP,20.86022463768116,3
432068,2022,-23.6213931038507,-46.6813513100192,5,kilometer,211.0,2736005.0,9.0,9.0,16.0,13.0,47.0,chacara,04601-001,R Prsa Isabel,Brooklin Paulista,São Paulo,SP,19.826123188405795,3
432069,2022,-23.6224774720459,-46.6823855562224,5,kilometer,247.0,109488.0,0.0,4.0,5.0,10.0,19.0,chacara,04601-001,R Prsa Isabel,Brooklin Paulista,São Paulo,SP,7.9339130434782605,2
432070,2022,-23.6199460248049,-46.6799058466732,5,kilometer,263.0,1785975.0,9.0,14.0,10.0,12.0,45.0,chacara,04619-000,R  Gabriele D'Annunzio,Campo Belo,São Paulo,SP,12.941847826086956,1
432071,2022,-23.6210203959968,-46.6793672200317,5,kilometer,234.0,2822341.0,19.0,27.0,12.0,9.0,67.0,chacara,04576-010,Av Jorn Roberto Marinho,Cidade Monções,São Paulo,SP,20.451746376811595,3
432072,2022,-23.61994386073,-46.6736186320034,5,kilometer,200.0,985242.0,15.0,4.0,7.0,11.0,37.0,chacara,04607-020,R  Tejereba,Campo Belo,São Paulo,SP,7.139434782608696,1
